employee_id,fullname,rating,years_of_service_months,job_level,SEA,CEX,QDD,iq,Papi_G,Papi_T,position_id,division_id,department_id,directorate_id,grade_id,company_id,education_id,major_id,area_id
EMP100000,Rendra Pratama,3.0,64,Senior,2.0,3.0,3.0,94.0,5.0,3.0,1,3,6,3,2,1,3,1,4
EMP100001,Wulan Setiawan,3.0,16,Junior,3.0,2.0,2.0,94.0,2.0,6.0,4,5,5,3,1,4,1,2,4
EMP100002,Julia Jatmiko Situmorang,4.0,58,Middle,3.0,5.0,5.0,109.0,2.0,9.0,5,1,1,3,1,1,3,1,3
EMP100003,Oka Halim,3.0,15,Junior,3.0,3.0,3.0,85.0,3.0,1.0,4,1,2,1,2,1,2,5,3
EMP100004,Dwi Pratama,4.0,34,Middle,3.0,4.0,3.0,134.0,8.0,9.0,6,3,5,3,1,3,1,5,4
EMP100005,Bayu Zulfikar,3.0,66,Senior,2.0,3.0,3.0,130.0,3.0,1.0,5,3,2,1,1,1,3,1,1
EMP100006,Indra Santoso,4.0,82,Senior,4.0,3.0,4.0,139.0,9.0,8.0,3,1,2,2,1,1,1,4,3
EMP100007,Rani Mahendra,2.0,56,Middle,1.0,2.0,3.0,99.0,1.0,3.0,4,2,3,2,3,4,2,1,3
EMP100008,Gita Permadi,3.0,40,Middle,3.0,3.0,2.0,137.0,6.0,5.0,3,5,1,1,1,2,4,1,4
EMP100010,Maya Jatmiko Handayani,5.0,29,Middle,5.0,5.0,5.0,84.0,6.0,5.0,4,2,3,2,3,2,1,4,3
EMP100011,Fajar Halim,5.0,51,Middle,5.0,3.0,3.0,125.0,9.0,5.0,3,2,5,3,3,4,2,1,1
EMP100012,Rendra Tri Purnama,5.0,3,Junior,4.0,2.0,4.0,108.0,1.0,1.0,2,2,3,1,2,1,4,6,2
EMP100013,Maya Mahendra,2.0,3,Junior,3.0,2.0,2.0,124.0,5.0,9.0,6,1,2,2,3,4,1,4,4
EMP100014,Wahyu Indrawan,3.0,65,Senior,3.0,3.0,3.0,92.0,4.0,2.0,6,3,1,1,2,3,4,2,3
EMP100016,Dinda Pramudita Ginting,2.0,39,Middle,1.0,3.0,3.0,97.0,3.0,2.0,6,5,6,2,2,1,1,3,4
EMP100017,Fajar Mahendra,4.0,95,Senior,4.0,4.0,4.0,107.0,7.0,1.0,4,1,3,2,3,2,2,2,1
EMP100018,Arif Ginting,2.0,53,Middle,2.0,3.0,2.0,109.0,6.0,9.0,5,5,3,3,2,4,1,6,3
EMP100019,Rizki Iqbal Gunawan,3.0,27,Middle,3.0,3.0,3.0,125.0,9.0,3.0,4,1,2,2,1,3,3,6,4
EMP100020,Yoga Erlangga Hartanto,4.0,31,Middle,5.0,4.0,4.0,132.0,9.0,1.0,1,4,6,1,2,1,4,5,3
EMP100022,Oka Nugroho,4.0,53,Middle,4.0,3.0,4.0,91.0,3.0,1.0,2,1,3,2,2,2,3,3,1
EMP100023,Adit Kurniawan,3.0,49,Middle,3.0,4.0,3.0,139.0,5.0,2.0,3,1,2,2,2,4,4,1,2
EMP100024,Rendra Candra Maulida,5.0,44,Middle,4.0,5.0,5.0,134.0,6.0,9.0,5,2,3,2,2,2,3,4,1
EMP100026,Wulan Yudhistira Tamba,5.0,65,Senior,5.0,5.0,4.0,107.0,4.0,3.0,4,5,2,2,2,4,4,3,1
EMP100027,Oka Rohman,1.0,132,Senior,1.0,1.0,1.0,97.0,6.0,6.0,2,5,1,1,3,3,3,2,3
EMP100028,Nadia Saputra,3.0,22,Middle,3.0,3.0,3.0,107.0,5.0,4.0,3,4,3,1,2,3,4,5,1
EMP100030,Rizky Anugrah Permadi,3.0,56,Middle,3.0,3.0,4.0,110.0,2.0,3.0,5,4,3,2,3,3,3,4,1
EMP100031,Julia Nabila Kurniawan,2.0,34,Middle,2.0,2.0,2.0,103.0,2.0,1.0,3,4,2,3,2,4,4,2,4
EMP100032,Galih Mahardika Purnama,3.0,34,Middle,3.0,3.0,2.0,109.0,3.0,1.0,3,3,6,3,1,2,4,2,1
EMP100033,Ahmad Simanjuntak,2.0,37,Middle,2.0,3.0,1.0,117.0,1.0,1.0,5,1,3,3,2,2,4,3,2
EMP100035,Oka Tamba,2.0,57,Middle,3.0,3.0,2.0,103.0,9.0,3.0,1,4,5,3,3,3,2,4,4
EMP100036,Ayunda Utama Lestari,3.0,54,Middle,2.0,2.0,3.0,120.0,2.0,6.0,1,4,6,3,3,2,2,3,1
EMP100037,Nabila Ramadhan,4.0,52,Middle,5.0,5.0,4.0,109.0,5.0,8.0,6,2,4,1,2,1,2,6,1
EMP100039,Budi Adi Permadi,5.0,65,Senior,5.0,5.0,5.0,125.0,9.0,2.0,4,2,3,2,1,2,3,4,2
EMP100040,Rifqi Putra,2.0,81,Senior,2.0,2.0,1.0,112.0,3.0,5.0,4,2,2,3,2,3,4,2,1
EMP100041,Lestari Maulana,5.0,99,Senior,4.0,5.0,3.0,86.0,3.0,4.0,3,2,6,1,1,4,2,4,2
EMP100042,Oka Lukman,4.0,28,Middle,4.0,4.0,4.0,139.0,7.0,4.0,6,4,2,2,1,3,4,3,3
EMP100043,Nugroho Indrawan,4.0,40,Middle,4.0,4.0,5.0,109.0,6.0,5.0,3,2,4,2,1,2,1,3,2
EMP100044,Indra Maulida,4.0,8,Junior,4.0,4.0,4.0,82.0,7.0,4.0,5,1,3,2,1,4,2,6,4
EMP100045,Dimas Mahendra,3.0,38,Middle,3.0,3.0,4.0,111.0,6.0,8.0,2,4,3,1,3,2,1,5,3
EMP100046,Fitri Lestari,2.0,64,Senior,3.0,2.0,2.0,109.0,8.0,8.0,1,3,4,1,2,3,2,6,4
